item_id,product_name
1,Campbell's Select Harvest 
2,Ahold
3,Careone
4,Roland
5,Nature's Promise
6,Mccormick
7,Smart Living
8,Sally Hansen
9,Goody
10,Companion
11,Twinlab
12,Nature's Way
13,Betty Crocker
14,Kraft
15,Gerber
16,Nature's Answer
17,Goya
18,Aura Cacia
19,Sports Tissues
20,Manischewitz
21,Liebers
22,Kiss My Face
23,Badia
24,Usda Meat
25,Herb Pharm
26,Guaranteed Value
27,Gefen
28,Pepperidge Farm
29,Ge
30,Natrol
31,Streits
32,Del Monte
33,Lindt
34,Huggies
35,Campbell's
36,Nature Made
37,Simply Enjoy
38,Glade
39,Alba Botanica
40,Hyland's
41,Colgate
42,La Preferida
43,L'oreal Paris
44,Farberware
45,Boar's Head
46,Rainbow Light
47,Usda Produce
48,Hershey's
49,Beech-nut
50,Hartz
51,Burt's Bees
52,Reese
53,Ghirardelli
54,Dove
55,Osem
56,Pillsbury
57,Mrs. Meyer's
58,Delallo
59,Scotch
60,Paskesz
61,Celestial Seasonings
62,Utz
63,Cottontails
64,Jelly Belly
65,Dole
66,Quaker
67,Jason
68,Suave
69,Nature's Bounty
70,Amy's
71,Pampers
72,Progresso
73,Febreze
74,Boiron
75,Desert Essence
76,Earth Therapeutics
77,Seventh Generation
78,Yoplait
79,Herr's
80,Air Wick
81,Bobs Red Mill
82,Arm & Hammer
83,Revlon
84,Earth's Best
85,Oscar Mayer
86,Jell-o
87,Simply Organic
88,Hodgson Mill
89,Neutrogena
90,Gatorade
91,Lean Cuisine
92,Lundberg
93,Rubbermaid
94,Lipton
95,Giant
96,Kellogg's
97,Godiva
98,Keebler
99,Bigelow
100,Back To Nature
101,Kashi
102,Nature's Gate
103,Turkey Hill
104,Libman
105,Spice Hunter
106,Ocean Spray
107,Giovanni Hair Care Products
108,Knorr
109,Derma E
110,Hormel
111,Alessi
112,Clif
113,Aloha Bay
114,Jason Natural Products
115,Healthy Origins
116,Usda Seafood
117,Traditional Medicinals
118,Dean Jacobs
119,Stouffer's
120,Futurebiotics
121,Olay
122,Natures Way
123,Margaret Holmes
124,Palmer's
125,Nestle
126,Fancy Feast
127,Morton & Bassett
128,Bob's Red Mill
129,Sylvania
130,Smucker's
131,Preserve
132,Yogi
133,Olympian Labs
134,Plum Organics
135,Old Spice
136,Russell Stover
137,Earths Best
138,Sage Valley
139,Hood
140,Hefty
141,Birds Eye
142,Friendly's
143,King Bio Homeopathic
144,Organic Valley
145,Blue Diamond
146,Tones
147,El Club Mexicano
148,Dial
149,Playtex
150,Aveeno
151,Dynamic Health
152,Cake Mate
153,Sclafani
154,Healthy Choice
155,Kikkoman
156,Milani
157,Martha Pantry
158,Ecco Bella Beauty
159,Lay's
160,Kiwi
161,Newman's Own
162,Lysol
163,Sargento
164,Barilla
165,Logona
166,Natures Answer
167,Mezzetta
168,Imagine
169,Zatarains
170,Vigo
171,American Health
172,Iams
173,Axe
174,Friskies
175,Andalou Naturals
176,Newman's Own Organics
177,Blue Q
178,Cento
179,Atkins
180,Planters
181,Marzetti
182,Walden Farms
183,Mrs Meyers Clean Day
184,Marie Callender's
185,Hallmark
186,Alberto Vo5
187,Weight Watchers
188,Ogx
189,Tide
190,Snyder's Of Hanover
191,Green Giant
192,Colorevolution
193,Honeybee Gardens
194,Starbucks
195,Belgioioso
196,M&m's
197,Aroma Naturals
198,Welch's
199,Maybelline
200,Ken's Steak House
201,Weleda
202,Davinci
203,Lifeway
204,Crest
205,Racconto
206,Purina
207,Kyolic
208,Nivea
209,Clorox
210,Bic
211,Only Natural
212,Always
213,Stonyfield
214,John Frieda
215,Arrowhead Mills
216,Kind
217,Uncle Ben's
218,Elite
219,Rainbow Research
220,Kiss
221,Pearl River
222,So Delicious
223,Stash Tea
224,Reviva Labs
225,Tyson
226,Bertolli
227,Heinz
228,Chobani
229,Madelaine
230,Old El Paso
231,Paradise
232,Special K
233,Wise
234,Minute Maid
235,Tastykake
236,4c
237,Frontera
238,Reese's
239,Annie's Homegrown
240,Food Should Taste Good
241,J.r. Watkins
242,Royal Crest
243,Shikai Products
244,Perdue
245,Avalon
246,Avalon Organics
247,Polar
248,Pantene
249,Divina
250,Weight Watchers Smart Ones
251,Bach
252,Galil
253,Sara Lee
254,Larabar
255,Duncan Hines
256,Crystal Light
257,Tresemme
258,Nubian Heritage
259,Oreo
260,One With Nature
261,Eo Products
262,El Guapo
263,Dannon
264,Kedem
265,Meal Mart
266,Snapple
267,Fiesta
268,Gillette
269,Sprout
270,Kettle Foods
271,Green Sprouts
272,Martin's
273,Fiber One
274,Post-it
275,Ziyad
276,Arizona
277,Louisiana
278,Oral-b
279,Glutino
280,Bob Evans
281,Glad
282,Sensations
283,Ronzoni
284,Wisconsin
285,Sante
286,Nourish
287,Urban Accents
288,Edy's
289,Alvita
290,Bumble Bee
291,Earthbound Farm
292,Angies
293,Pyrex
294,Full Circle Home
295,Veria Id
296,Kotex
297,Silk
298,Twinings Of London
299,L'eggs
300,Bell-view
301,Oberlander
302,Kleins Naturals
303,Tom's Of Maine
304,Land O'lakes
305,Deep Steep
306,Trojan
307,Weber
308,Dr Scholl's
309,Johnson's
310,Ziploc
311,Dr. Christopher's Formulas
312,Eco-products
313,Balance Bar
314,Yes To
315,Zeldas Sweet Shoppe
316,Ritz
317,Bush's
318,Happy Baby
319,Plentiful Planet
320,Clairol
321,Bounty
322,Conair
323,Bolthouse
324,Natures Gate
325,Lance
326,Cabot
327,Dean's
328,Ben & Jerry's
329,All Terrain
330,Band-aid
331,Dr Bronner
332,Twining Tea
333,Victoria
334,International Delight
335,Woodstock
336,Dancing Deer
337,Thai Kitchen
338,Wet N Wild
339,Swiss Premium
340,Met-rx
341,Cheez-it
342,Uncle Lee's Tea
343,Artskills
344,Nissin
345,Campbell's Chunky
346,Amys
347,Tony Chacheres
348,Sam Mills
349,South Of France
350,Nature's Herbs
351,Listerine
352,Softsoap
353,Nature's Path
354,Clearly Natural
355,Lezza
356,Eo
357,Pedigree
358,Wholesome Goodness
359,Hillshire Farm
360,Eas
361,A La Maison
362,Wholesome Sweeteners
363,Hunt's
364,Enjoy Life
365,Maxwell House
366,Gedilla
367,Naturade
368,Digiorno
369,Heritage Products
370,Pacific Foods
371,Olde Cape Cod
372,Walkers
373,Sabra
374,North American Herb And Spice
375,Mrs Wages
376,Gia Russa
377,Nature's Alchemy
378,Orville Redenbacher's
379,Folgers
380,Frontier Natural Products Co-op
381,Jergens
382,Hidden Valley
383,Kleenex
384,Mr. Clean
385,Degree
386,Herbatint
387,Annies Homegrown
388,Herbal Essences
389,Bulk Nuts
390,Pop-tarts
391,Disney
392,Trimedica
393,Chef Express
394,Howe
395,Vicks
396,St Dalfour
397,Burpee
398,Tasty Bite
399,Mill Creek
400,Rienzi
401,E-cloth
402,Advil
403,La Costena
404,Wheat Thins
405,Schick
406,Pacific
407,Near East
408,Xochitl
409,Sundown Naturals
410,Whitmor
411,Gold Bond
412,Unique
413,Chef Boyardee
414,Applegate
415,Tostitos
416,Banquet
417,Depend
418,Glicks
419,Jimmy Dean
420,President
421,Maxi Health Kosher Vitamins
422,Earth Science
423,Hanover
424,Kencraft
425,Cascadian Farm
426,Kitchenaid
427,Horizon Organic
428,Purina One
429,Tabatchnick
430,Silver Springs
431,Dynasty
432,Lunchables
433,Finish
434,Colavita
435,Pringles
436,Doritos
437,Green Toys
438,Glory Foods
439,Naturtint
440,Yummy Earth
441,Perugina
442,Empress
443,Cesar
444,Method
445,Crayola
446,Weiman
447,Tampax
448,Master Of Mixes
449,La Victoria
450,Nature Valley
451,Gorton's
452,Bio Nutrition
453,Cheetos
454,Tropicana
455,V8
456,Secret
457,Clean & Clear
458,Natures Path
459,Deland
460,Mariani
461,Sweet Leaf
462,Dell Alpe
463,Muir Glen
464,Yocrunch
465,Goldfish
466,Rokeach
467,Spice Island
468,Anagram
469,Health King Medicinal Teas
470,Schar
471,Diamond
472,Food Science Of Vermont
473,Koppers
474,Mott's
475,Sartori Reserve
476,Shulsinger
477,Giuliano
478,Nutrition Now
